Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
OGLE,I,7567.66845,19.339,0.056,19.339,0.056
OGLE,I,7567.77001,19.5,0.094,19.5,0.09399999999999999
OGLE,I,7567.86844,19.513,0.109,19.513,0.10899999999999999
OGLE,I,7568.64253,19.468,0.069,19.468,0.06899999999999999
OGLE,I,7568.76888,19.563,0.109,19.563,0.10899999999999999
OGLE,I,7569.55995,19.343,0.069,19.343,0.06900000000000002
OGLE,I,7569.68306,19.477,0.071,19.477,0.07099999999999998
OGLE,I,7569.78647,19.479,0.082,19.479,0.082
OGLE,I,7570.66443,19.333,0.058,19.333,0.057999999999999996
OGLE,I,7570.70964,19.366,0.064,19.366,0.064
OGLE,I,7570.75365,19.386,0.066,19.386,0.066
OGLE,I,7570.79911,19.357,0.075,19.357,0.07500000000000001
OGLE,I,7570.86646,19.619,0.127,19.619,0.12699999999999997
OGLE,I,7573.62845,19.224,0.065,19.224,0.065
OGLE,I,7573.68257,19.451,0.071,19.451,0.07099999999999998
OGLE,I,7573.72353,19.795,0.121,19.795,0.12099999999999997
OGLE,I,7575.50843,19.332,0.089,19.332,0.089
OGLE,I,7575.5224,19.199,0.069,19.199,0.069
OGLE,I,7575.57189,19.351,0.067,19.351,0.06699999999999999
OGLE,I,7575.62465,19.388,0.083,19.388,0.083
OGLE,I,7575.67439,19.393,0.056,19.393,0.056
OGLE,I,7575.71422,19.445,0.058,19.445,0.057999999999999996
OGLE,I,7575.75269,19.476,0.055,19.476,0.05499999999999999
OGLE,I,7575.79113,19.252,0.059,19.252,0.059
OGLE,I,7575.82938,19.678,0.095,19.678,0.09499999999999999
OGLE,I,7576.48141,19.308,0.068,19.308,0.068
OGLE,I,7576.51943,19.44,0.066,19.44,0.066
OGLE,I,7576.53202,19.462,0.073,19.462,0.07299999999999998
OGLE,I,7576.58755,19.559,0.058,19.559,0.05799999999999999
OGLE,I,7576.64633,19.659,0.06,19.659,0.05999999999999999
OGLE,I,7576.68709,19.512,0.063,19.512,0.06299999999999999
OGLE,I,7576.72531,19.488,0.068,19.488,0.06799999999999999
OGLE,I,7576.76376,19.583,0.074,19.583,0.07399999999999998
OGLE,I,7576.80211,19.449,0.068,19.449,0.068
OGLE,I,7576.84013,19.262,0.084,19.262,0.084
OGLE,I,7577.56093,19.369,0.076,19.369,0.07599999999999998
OGLE,I,7579.60107,19.496,0.07,19.496,0.06999999999999999
OGLE,I,7579.64441,19.534,0.07,19.534,0.06999999999999998
OGLE,I,7579.71045,19.305,0.059,19.305,0.059
OGLE,I,7579.75095,19.407,0.069,19.407,0.06899999999999999
OGLE,I,7581.72417,19.456,0.063,19.456,0.06299999999999999
OGLE,I,7581.79052,19.525,0.076,19.525,0.07599999999999998
OGLE,I,7581.83091,19.303,0.076,19.303,0.076
OGLE,I,7582.67327,19.736,0.116,19.736,0.11599999999999998
OGLE,I,7583.74458,19.323,0.097,19.323,0.09700000000000002
OGLE,I,7583.77066,19.42,0.085,19.42,0.085
OGLE,I,7584.51501,19.554,0.114,19.554,0.11399999999999998
OGLE,I,7584.55357,19.655,0.101,19.655,0.10099999999999999
OGLE,I,7584.59193,19.576,0.095,19.576,0.09499999999999999
OGLE,I,7584.63085,19.244,0.082,19.244,0.08199999999999999
OGLE,I,7584.67078,19.413,0.077,19.413,0.077
OGLE,I,7584.7088,19.611,0.094,19.611,0.094
OGLE,I,7584.75806,19.486,0.087,19.486,0.08699999999999997
OGLE,I,7584.79741,19.388,0.099,19.388,0.099
OGLE,I,7589.51518,19.183,0.118,19.183,0.11799999999999997
OGLE,I,7589.55857,19.265,0.091,19.265,0.091
OGLE,I,7589.59938,19.455,0.093,19.455,0.093
OGLE,I,7589.64661,19.738,0.105,19.738,0.10499999999999998
OGLE,I,7589.68664,19.216,0.071,19.216,0.07099999999999997
OGLE,I,7589.72504,19.463,0.118,19.463,0.11799999999999998
OGLE,I,7589.77144,19.356,0.114,19.356,0.114
OGLE,I,7589.80896,19.469,0.124,19.469,0.12399999999999999
OGLE,I,7590.48607,19.511,0.106,19.511,0.10599999999999998
OGLE,I,7590.52411,19.512,0.093,19.512,0.09299999999999999
OGLE,I,7590.56149,19.472,0.075,19.472,0.07499999999999998
OGLE,I,7590.60076,19.542,0.067,19.542,0.06699999999999999
OGLE,I,7590.64636,19.481,0.065,19.481,0.06499999999999999
OGLE,I,7590.6842,19.519,0.076,19.519,0.07599999999999998
OGLE,I,7590.72219,19.269,0.063,19.269,0.06299999999999999
OGLE,I,7590.80737,19.075,0.086,19.075,0.08599999999999998
